State_Name,District_Name,Latitude,Longitude,Year,Season,Crop,Area,Production,Mean_Temperature,Max_Temperature,Min_Temperature,Precipitation,Shortwave_Radiation,Wind_Speed,Relative_Humidity,ET0,Soil_Moisture,Soil_Temperature,Soil_pH,Organic_Carbon,Clay,Sand,Silt,Elevation,Yield
Andhra Pradesh,VIZIANAGARAM,18.114126,83.411439,2006,Rabi,Horse-gram,19884.0,9723.0,22.66054347826087,26.80913043478261,19.026521739130434,263.08,16.816195652173914,1.5980434782608697,80.06521739130434,3.541413043478261,0.3195978260869565,25.694565217391304,0.63,1.96,2.77,3.5200000000000005,3.7,69.0,0.48898611949305976
Andhra Pradesh,VIZIANAGARAM,18.114126,83.411439,2006,Rabi,Jowar,29.0,63.0,22.66054347826087,26.80913043478261,19.026521739130434,263.08,16.816195652173914,1.5980434782608697,80.06521739130434,3.541413043478261,0.3195978260869565,25.694565217391304,0.63,1.96,2.77,3.5200000000000005,3.7,69.0,2.1724137931034484
Andhra Pradesh,VIZIANAGARAM,18.114126,83.411439,2006,Rabi,Maize,8671.0,32100.0,22.66054347826087,26.80913043478261,19.026521739130434,263.08,16.816195652173914,1.5980434782608697,80.06521739130434,3.541413043478261,0.3195978260869565,25.694565217391304,0.63,1.96,2.77,3.5200000000000005,3.7,69.0,3.70199515626802
Andhra Pradesh,VIZIANAGARAM,18.114126,83.411439,2006,Rabi,Moong(Green Gram),18605.0,8875.0,22.66054347826087,26.80913043478261,19.026521739130434,263.08,16.816195652173914,1.5980434782608697,80.06521739130434,3.541413043478261,0.3195978260869565,25.694565217391304,0.63,1.96,2.77,3.5200000000000005,3.7,69.0,0.47702230583176564
Andhra Pradesh,VIZIANAGARAM,18.114126,83.411439,2006,Rabi,Onion,398.0,4747.0,22.66054347826087,26.80913043478261,19.026521739130434,263.08,16.816195652173914,1.5980434782608697,80.06521739130434,3.541413043478261,0.3195978260869565,25.694565217391304,0.63,1.96,2.77,3.5200000000000005,3.7,69.0,11.92713567839196
Andhra Pradesh,VIZIANAGARAM,18.114126,83.411439,2006,Rabi,Ragi,1410.0,2314.0,22.66054347826087,26.80913043478261,19.026521739130434,263.08,16.816195652173914,1.5980434782608697,80.06521739130434,3.541413043478261,0.3195978260869565,25.694565217391304,0.63,1.96,2.77,3.5200000000000005,3.7,69.0,1.6411347517730497
Andhra Pradesh,VIZIANAGARAM,18.114126,83.411439,2006,Rabi,Rice,1000.0,1803.0,22.66054347826087,26.80913043478261,19.026521739130434,263.08,16.816195652173914,1.5980434782608697,80.06521739130434,3.541413043478261,0.3195978260869565,25.694565217391304,0.63,1.96,2.77,3.5200000000000005,3.7,69.0,1.803
Andhra Pradesh,VIZIANAGARAM,18.114126,83.411439,2006,Rabi,Sesamum,1523.0,442.0,22.66054347826087,26.80913043478261,19.026521739130434,263.08,16.816195652173914,1.5980434782608697,80.06521739130434,3.541413043478261,0.3195978260869565,25.694565217391304,0.63,1.96,2.77,3.5200000000000005,3.7,69.0,0.2902166776099803
Andhra Pradesh,VIZIANAGARAM,18.114126,83.411439,2006,Rabi,Urad,11557.0,5686.0,22.66054347826087,26.80913043478261,19.026521739130434,263.08,16.816195652173914,1.5980434782608697,80.06521739130434,3.541413043478261,0.3195978260869565,25.694565217391304,0.63,1.96,2.77,3.5200000000000005,3.7,69.0,0.49199619278359435
Andhra Pradesh,VIZIANAGARAM,18.114126,83.411439,2006,Whole Year,Arecanut,10.0,7.0,25.690465753424657,30.586849315068495,21.786328767123287,1493.81,17.936054794520548,2.1307123287671232,76.81917808219178,4.382657534246576,0.2817342465753424,28.053150684931506,0.63,1.96,2.77,3.5200000000000005,3.7,69.0,0.7
